,coef,nulls,distinct_count,mean,mean_rej,mean_app,std_dev,top10Values,dtype,i
school_state_TN,0.02991730113343182,0,2,0.02507878852625394,0.024517921051225897,0.02563965600128198,0.1563665434661234,"0    36503
1      939
dtype: int64",float64,72
school_state_MO,0.029203373012673287,0,2,0.020057689226002883,0.019710485550985524,0.020404892901020245,0.14019951247522186,"0    36691
1      751
dtype: int64",float64,54
primary_focus_subject_Performing Arts,0.024183207302256326,0,2,0.013273863575663692,0.012873243950643662,0.013674483200683724,0.11444657243873295,"0    36945
1      497
dtype: int64",float64,110
secondary_focus_area_Music & The Arts,-0.023965662752542607,0,2,0.04946316970247316,0.04770044335238502,0.051225896052561296,0.21683592944027194,"0    35590
1     1852
dtype: int64",float64,154
teacher_prefix_Ms.,0.02391937025870231,0,2,0.3994177661449709,0.41076865552053843,0.3880668767694033,0.48978528070853483,"0    22487
1    14955
dtype: int64",float64,87
primary_focus_subject_ESL,-0.020928535429514457,0,2,0.01573099727578655,0.016558944500827948,0.014903050050745152,0.12443450705231648,"0    36853
1      589
dtype: int64",float64,93
primary_focus_area_Special Needs,-0.020479625911117637,0,2,0.07195128465359757,0.08135249185406762,0.0625500774531275,0.25841068233374126,"0    34748
1     2694
dtype: int64",float64,121
primary_focus_area_mv,-0.02016819640449211,0,2,0.00435339992521767,0.008599967950429999,0.0001068319000053416,0.06583740275652664,"0    37279
1      163
dtype: int64",float64,22
resource_type_Books,0.01651219669738673,0,2,0.1861278777843064,0.16713850755835694,0.20511724801025585,0.3892150264860416,"0    30473
1     6969
dtype: int64",float64,156
primary_focus_area_Literacy & Language,-0.015909104139086482,0,2,0.4169114897708456,0.38491533571924574,0.44890764382244536,0.4930545530174099,"0    21832
1    15610
dtype: int64",float64,118
primary_focus_area_Applied Learning,-0.015851222030074164,0,2,0.0784680305539234,0.08813631750440681,0.06879974360343999,0.26891026395713996,"0    34504
1     2938
dtype: int64",float64,115
primary_focus_area_History & Civics,-0.015304802841966737,0,2,0.048688638427434434,0.0556060039527803,0.04177127290208856,0.21521917203169905,"0    35619
1     1823
dtype: int64",float64,117
school_state_NC,-0.014964233828583064,0,2,0.056487367127824366,0.058704129052935206,0.05427060520271353,0.23086352670698493,"0    35327
1     2115
dtype: int64",float64,57
primary_focus_subject_Visual Arts,0.013895821585613163,0,2,0.04401474280220074,0.04145077720207254,0.04657870840232894,0.20513061461329263,"0    35794
1     1648
dtype: int64",float64,114
school_state_NE,-0.013152507226551454,0,2,0.0027242134501362105,0.0028310453501415524,0.002617381550130869,0.052123552000684685,"0    37340
1      102
dtype: int64",float64,59
secondary_focus_subject_ESL,0.01038023189956846,0,2,0.03450670370172534,0.030714171251535707,0.03829923615191496,0.18252912350578362,"0    36150
1     1292
dtype: int64",float64,127
secondary_focus_subject_Literacy,0.009149350899474702,0,2,0.0978580204048929,0.09443939960472197,0.10127664120506383,0.2971265490311576,"0    33778
1     3664
dtype: int64",float64,137
secondary_focus_subject_Music,0.00896579480696131,0,2,0.0103359863255168,0.010255862400512792,0.010416110250520805,0.101140629420001,"0    37055
1      387
dtype: int64",float64,140
school_state_SC,-0.008856968588210426,0,2,0.02304898242615245,0.02200737140110037,0.02409059345120453,0.1500610817441333,"0    36579
1      863
dtype: int64",float64,70
school_charter,0.00878763877073854,0,2,0.09895304737994766,0.10571016505528551,0.0921959297046098,0.2986029523910625,"0    33737
1     3705
dtype: int64",float64,7
secondary_focus_subject_Special Needs,0.00828033676073028,0,2,0.043934618877196734,0.04369424710218471,0.04417499065220875,0.2049524091658589,"0    35797
1     1645
dtype: int64",float64,146
secondary_focus_subject_Performing Arts,-0.007050792920785365,0,2,0.017093104000854654,0.013621067250681053,0.020565140751028256,0.1296201316434616,"0    36802
1      640
dtype: int64",float64,144
school_state_PA,-0.006763405051339803,0,2,0.02409059345120453,0.025105496501255275,0.023075690401153783,0.1533325297709511,"0    36540
1      902
dtype: int64",float64,68
teacher_prefix_Mr.,0.004120658222131479,0,2,0.14077773623203887,0.15463917525773196,0.1269162972063458,0.34779677381972396,"0    32171
1     5271
dtype: int64",float64,85
resource_type_Supplies,-0.002180430320402634,0,2,0.3718017199935901,0.40323700657016187,0.34036643341701833,0.48329229170715926,"0    23521
1    13921
dtype: int64",float64,158
essay_mv,0.0,0,2,0.007157737300357887,0.014315474600715774,0.0,0.08430120937744631,"0    37174
1      268
dtype: int64",float64,29
school_metro_mv,0.0,0,2,0.12862560760643127,0.13252497195662624,0.12472624325623631,0.3347895670603037,"0    32626
1     4816
dtype: int64",float64,20
primary_focus_subject_mv,0.0,0,2,0.00435339992521767,0.008599967950429999,0.0001068319000053416,0.06583740275652664,"0    37279
1      163
dtype: int64",float64,21
teacher_teach_for_america,0.0,0,2,0.04930292185246515,0.04524330965226216,0.05336253405266813,0.21650264581005452,"0    35596
1     1846
dtype: int64",float64,13
school_charter_ready_promise,0.0,0,2,0.005208055125260402,0.005929170450296458,0.004486939800224347,0.0719796475606243,"0    37247
1      195
dtype: int64",float64,12
poverty_level_high poverty,0.0,0,2,0.26117728753805886,0.2591741894129587,0.26318038566315904,0.4392822165988117,"0    27663
1     9779
dtype: int64",float64,162
school_metro_urban,0.0,0,2,0.5103626943005182,0.513380695475669,0.5073446931253672,0.49989927872601897,"1    19109
0    18333
dtype: int64",float64,83
poverty_level_low poverty,0.0,0,2,0.02804337375140217,0.02953902035147695,0.026547727151327385,0.16509897315621114,"0    36392
1     1050
dtype: int64",float64,164
grade_level_Grades 6-8,0.0,0,2,0.18444527535922225,0.19715827145985793,0.1717322792585866,0.3878520767213816,"0    30536
1     6906
dtype: int64",float64,167
short_description_mv,0.0,0,2,0.0236899738261845,0.047379947652369,0.0,0.15208345309439167,"0    36555
1      887
dtype: int64",float64,27
teacher_prefix_Mrs.,0.0,0,2,0.45972437369798624,0.4344319213717216,0.48501682602425084,0.4983818894915874,"0    20229
1    17213
dtype: int64",float64,86
secondary_focus_subject_Health & Life Science,0.0,0,2,0.02849740932642487,0.02996634795149832,0.027028470701351424,0.16639124504114663,"0    36375
1     1067
dtype: int64",float64,134
secondary_focus_subject_Early Development,0.0,0,2,0.027215426526360772,0.02462475295123124,0.029806100101490304,0.16271279664217475,"0    36423
1     1019
dtype: int64",float64,128
resource_type_Other,0.0,0,2,0.10733935153036697,0.1069921478553496,0.10768655520538432,0.3095483392076709,"0    33423
1     4019
dtype: int64",float64,157
primary_focus_subject_Mathematics,0.0,0,2,0.13313925538165697,0.1344479461567224,0.13183056460659154,0.3397297110838333,"0    32457
1     4985
dtype: int64",float64,105
secondary_focus_subject_Nutrition,0.0,0,2,0.0025105496501255276,0.003418620800170931,0.0016024785000801239,0.05004311816550632,"0    37348
1       94
dtype: int64",float64,141
primary_focus_subject_Literacy,0.0,0,2,0.26641205063832063,0.23486993216174348,0.2979541691148977,0.44208810181920943,"0    27467
1     9975
dtype: int64",float64,103
